rt_true,da_true,load_true,rt_pred,da_pred,load_pred
27.34,47.1,3016.6387,247.7728,0.2308,3816.4935
28.08,47.1,3032.8926,192.9013,25.7748,3712.7477
28.14,47.1,3002.73,133.371,0.1458,3600.0727
28.46,43.31,2992.3823,134.438,-19.6876,3709.0302
28.54,43.31,2983.1738,156.8708,-6.3412,3649.1777
27.45,43.31,2966.3767,197.6704,11.4524,3509.5339
30.8,43.31,2948.9202,202.8243,19.7174,3650.596
28.09,43.31,2964.3594,161.2109,37.5975,3614.2267
27.19,43.31,2984.3464,144.078,33.3537,3491.0161
28.06,43.31,2948.9141,208.8024,-4.9695,3539.5308
30.76,43.31,2938.9172,204.3057,1.2805,3469.692
29.41,43.31,2931.7666,164.168,6.7895,3426.1966
28.06,43.31,2908.9648,175.3196,-19.3446,3366.1013
27.01,43.31,2885.5991,156.4159,-52.948,3303.5863
25.59,43.31,2882.3013,160.7803,-10.3944,3357.7347
28.44,44.38,2858.0591,213.3427,18.0271,3375.1119
26.96,44.38,2892.4397,137.9333,31.461,3351.4901
26.94,44.38,2860.5542,117.6959,20.0202,3314.0072
26.96,44.38,2857.6294,141.9426,20.0402,3342.9579
25.49,44.38,2855.4771,149.9451,35.5591,3273.2037
25.19,44.38,2849.9021,171.0246,29.2272,3235.5807
25.14,44.38,2830.5005,155.0369,9.8311,3311.7517
25.18,44.38,2840.5903,150.6981,-4.2393,3224.5225
25.28,44.38,2803.1575,163.5021,-9.3176,3158.1127
25.26,44.38,2806.0474,182.2981,20.0094,3206.4531
24.93,44.38,2794.1035,151.7898,14.1217,3162.2367
25.19,44.38,2806.916,75.2812,14.9803,3095.1307
23.49,45.34,2788.0884,79.6543,23.3347,3081.5551
23.88,45.34,2781.9883,83.9654,16.0665,3015.2523
23.85,45.34,2785.0391,82.8547,21.0905,3050.5223
23.83,45.34,2774.1606,75.0813,33.579,3060.1167
23.81,45.34,2778.3818,75.7545,10.0792,3133.0798
23.81,45.34,2770.8528,73.2132,36.6733,3026.6113
23.45,45.34,2754.6797,73.8268,37.8817,3033.6228
23.17,45.34,2750.4175,52.781,58.9338,3086.0143
23.17,45.34,2765.5872,84.3628,33.3621,3166.023
23.19,45.34,2773.105,73.8443,27.571,3097.2249
