rt_true,da_true,load_true,rt_pred,da_pred,load_pred
126.85,220.06,4713.1299,92.5119,194.7879,4773.2945
124.34,220.06,4731.5557,95.8689,204.6234,4760.7459
124.34,220.06,4720.1445,100.7522,212.319,4763.2945
124.8,220.06,4733.1592,104.2368,205.7212,4739.2475
124.8,220.06,4740.5884,79.8207,196.1206,4703.6668
126.0,220.06,4716.5669,72.4295,180.6547,4731.813
119.66,220.06,4730.5806,55.2535,186.1448,4704.302
124.35,220.06,4751.2842,65.392,188.212,4685.6646
124.35,220.06,4756.6611,53.8106,199.9183,4714.7256
119.78,236.78,4773.2275,100.6017,204.7257,4740.7636
119.78,236.78,4766.2954,68.8587,222.1006,4727.7136
123.36,236.78,4773.6406,119.5516,218.9235,4699.518
188.49,236.78,4801.8608,118.1226,222.4156,4658.0524
188.49,236.78,4792.3428,140.0286,228.5976,4644.2232
177.64,236.78,4822.0996,113.8009,245.6187,4709.0462
177.64,236.78,4845.2778,139.3515,236.5928,4692.366
174.78,236.78,4856.3994,233.1886,233.5987,4675.89
178.01,236.78,4865.2231,177.2791,228.9695,4697.0306
137.86,236.78,4871.9536,209.9915,257.1487,4600.186
133.38,236.78,4882.9766,189.9157,264.4574,4599.6795
215.08,236.78,4903.2471,149.4188,252.8039,4632.7909
182.53,224.35,4883.4653,146.907,245.4249,4671.4353
198.58,224.35,4905.2222,98.4583,264.7798,4653.0438
182.03,224.35,4897.5464,33.6934,221.7148,4675.2082
130.03,224.35,4913.1025,59.4923,241.5749,4637.0698
172.37,224.35,4915.6108,156.314,251.0052,4669.7838
181.94,224.35,4951.3408,124.0869,264.8629,4636.102
306.36,224.35,4973.8867,113.3762,236.1088,4732.9975
308.4,224.35,4929.9004,116.3986,247.093,4759.9403
307.92,224.35,4946.4951,71.7209,226.2167,4811.5557
402.7,224.35,4929.1396,120.8624,228.9361,4815.9347
359.04,224.35,4942.1733,81.8096,229.8781,4838.6872
174.15,224.35,4931.9888,82.1156,261.3021,4815.9467
164.24,138.0,4913.5933,199.709,258.5507,4803.9368
135.26,138.0,4926.8682,152.9667,211.493,4772.7788
163.12,138.0,4934.415,186.3995,205.1471,4771.913
145.88,138.0,4914.9717,161.8093,202.0269,4698.0679
116.27,138.0,4891.1294,155.4526,197.798,4758.0185
163.0,138.0,4930.5703,169.3781,200.8775,4780.9723
111.99,138.0,4887.0195,162.6071,203.8732,4807.6262
163.93,138.0,4903.5449,190.0228,216.1089,4874.6755
117.47,138.0,4880.7939,186.3671,214.5799,4783.4508
103.99,138.0,4866.6182,176.4643,215.7396,4785.0482
125.45,138.0,4841.5439,181.7715,211.4358,4774.5413
129.86,138.0,4816.5757,185.82,209.3828,4758.0827
87.54,98.0,4850.3901,131.0488,212.8917,4745.7606
103.12,98.0,4822.8906,179.119,98.4818,4521.33
89.15,98.0,4785.2812,153.3799,88.081,4554.5039
103.19,98.0,4816.7041,134.7329,92.7048,4568.0726
388.9,98.0,4791.3022,151.3749,88.7314,4576.7323
91.41,98.0,4775.9033,95.7623,71.1301,4553.2044
110.95,98.0,4766.5283,95.2781,66.9568,4610.7507
117.9,98.0,4748.9385,128.8853,50.5526,4553.4318
104.27,98.0,4726.4819,135.4742,26.5858,4593.7612
110.08,98.0,4725.3354,146.0854,53.4985,4559.8023
104.13,98.0,4708.3818,154.5269,61.6894,4523.4822
103.03,98.0,4708.9165,169.8851,74.4421,4466.869
87.15,87.28,4652.8721,205.3352,105.6021,4384.9117
87.17,87.28,4652.4229,162.8644,78.245,4430.5742
87.54,87.28,4646.6328,132.7674,69.2155,4439.5941
87.05,87.28,4668.6504,49.5542,20.1762,4499.8326
87.11,87.28,4664.6714,25.8961,-4.0876,4612.546
87.55,87.28,4608.7856,-5.9,-14.5927,4565.4806
134.89,87.28,4627.1514,14.1597,-5.7073,4536.5925
108.59,87.28,4598.6094,36.2699,18.7568,4510.9473
86.25,87.28,4579.4746,137.0558,41.6503,4467.3385
86.16,87.28,4538.9546,125.7254,34.8497,4446.8963
86.07,87.28,4553.2119,120.2491,30.2123,4421.521
84.22,87.28,4549.9873,74.8785,17.3087,4418.06
82.34,83.68,4492.6216,82.8357,-17.031,4471.9984
105.87,83.68,4424.0552,77.3856,-7.4135,4462.7017
83.03,83.68,4425.3774,60.2259,-6.201,4438.9951
83.03,83.68,4405.9414,75.6255,5.2297,4445.8916
82.24,83.68,4356.6333,37.9919,-7.2569,4523.9674
80.94,83.68,4340.8457,167.4319,4.6282,4525.5633
80.88,83.68,4309.3613,146.534,-12.5896,4408.2936
79.9,83.68,4280.8525,106.607,-1.2313,4417.2353
82.12,83.68,4244.2979,164.1438,32.5175,4320.7768
79.59,83.68,4206.5283,85.5119,34.6373,4310.2715
79.55,83.68,4190.0176,112.8775,23.8702,4250.7274
79.35,83.68,4163.917,81.815,-23.1797,4313.5987
48.52,79.54,4121.5068,1.5375,-38.923,4388.2953
47.36,79.54,4101.6001,16.3017,13.5851,4293.6914
42.85,79.54,4047.5149,52.297,12.2007,4145.194
43.06,79.54,4013.4849,21.0962,47.9177,4083.5451
43.35,79.54,3979.9683,64.6413,24.235,4105.7987
38.9,79.54,3940.6975,51.7674,51.8567,3961.4457
37.34,79.54,3898.8145,52.2959,46.685,3925.0477
36.51,79.54,3888.1289,87.5532,57.4692,3914.8201
